2021-05-13-13.50.25 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.50.33 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.50.41 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.50.49 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.50.57 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.51.05 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.51.13 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.51.21 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.51.29 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.51.37 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.51.45 - Current temp: 51.750000, Set point: 51.000000, Relay: Off
2021-05-13-13.51.53 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.52.01 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.52.09 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.52.17 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.52.25 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.52.33 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.52.41 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.52.49 - Current temp: 51.687500, Set point: 51.000000, Relay: Off
2021-05-13-13.52.57 - Current temp: 51.562500, Set point: 51.000000, Relay: Off
2021-05-13-13.53.05 - Current temp: 51.562500, Set point: 51.000000, Relay: Off
2021-05-13-13.53.13 - Current temp: 51.562500, Set point: 51.000000, Relay: Off
2021-05-13-13.53.21 - Current temp: 51.562500, Set point: 51.000000, Relay: Off
2021-05-13-13.53.29 - Current temp: 51.562500, Set point: 51.000000, Relay: Off
2021-05-13-13.53.37 - Current temp: 51.562500, Set point: 51.000000, Relay: Off
2021-05-13-13.53.45 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.53.53 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.54.01 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.54.09 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.54.17 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.54.25 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.54.33 - Current temp: 51.500000, Set point: 51.000000, Relay: Off
2021-05-13-13.54.41 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-13.54.49 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-13.54.57 - Current temp: 51.375000, Set point: 51.000000, Relay: Off
2021-05-13-13.55.05 - Current temp: 51.375000, Set point: 51.000000, Relay: Off
2021-05-13-13.55.13 - Current temp: 51.375000, Set point: 51.000000, Relay: Off
2021-05-13-13.55.21 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-13.55.29 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-13.55.37 - Current temp: 51.437500, Set point: 51.000000, Relay: Off
2021-05-13-13.55.45 - Current temp: 51.375000, Set point: 51.000000, Relay: Off
2021-05-13-13.55.53 - Current temp: 51.375000, Set point: 51.000000, Relay: Off
2021-05-13-13.56.01 - Current temp: 51.375000, Set point: 51.000000, Relay: Off
2021-05-13-13.56.09 - Current temp: 51.375000, Set point: 51.000000, Relay: Off
2021-05-13-13.56.17 - Current temp: 51.375000, Set point: 51.000000, Relay: Off
2021-05-13-13.56.25 - Current temp: 51.312500, Set point: 51.000000, Relay: Off
2021-05-13-13.56.33 - Current temp: 51.312500, Set point: 51.000000, Relay: Off
2021-05-13-13.56.41 - Current temp: 51.312500, Set point: 51.000000, Relay: Off
2021-05-13-13.56.49 - Current temp: 51.312500, Set point: 51.000000, Relay: Off
2021-05-13-13.56.57 - Current temp: 51.312500, Set point: 51.000000, Relay: Off
2021-05-13-13.57.05 - Current temp: 51.312500, Set point: 51.000000, Relay: Off
2021-05-13-13.57.13 - Current temp: 51.312500, Set point: 51.000000, Relay: Off
2021-05-13-13.57.21 - Current temp: 51.250000, Set point: 51.000000, Relay: Off
2021-05-13-13.57.29 - Current temp: 51.250000, Set point: 51.000000, Relay: Off
2021-05-13-13.57.37 - Current temp: 51.250000, Set point: 51.000000, Relay: Off
2021-05-13-13.57.45 - Current temp: 51.250000, Set point: 51.000000, Relay: Off
2021-05-13-13.57.53 - Current temp: 51.250000, Set point: 51.000000, Relay: Off
2021-05-13-13.58.01 - Current temp: 51.250000, Set point: 51.000000, Relay: Off
2021-05-13-13.58.09 - Current temp: 51.187500, Set point: 51.000000, Relay: Off
2021-05-13-13.58.17 - Current temp: 51.187500, Set point: 51.000000, Relay: Off
2021-05-13-13.58.25 - Current temp: 51.187500, Set point: 51.000000, Relay: Off
2021-05-13-13.58.33 - Current temp: 51.187500, Set point: 51.000000, Relay: Off
2021-05-13-13.58.41 - Current temp: 51.125000, Set point: 51.000000, Relay: Off
2021-05-13-13.58.49 - Current temp: 51.125000, Set point: 51.000000, Relay: Off
2021-05-13-13.58.57 - Current temp: 51.125000, Set point: 51.000000, Relay: Off
2021-05-13-13.59.05 - Current temp: 51.125000, Set point: 51.000000, Relay: Off
2021-05-13-13.59.13 - Current temp: 51.125000, Set point: 51.000000, Relay: Off
2021-05-13-13.59.21 - Current temp: 51.125000, Set point: 51.000000, Relay: Off
2021-05-13-13.59.29 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-13.59.37 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-13.59.45 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-13.59.53 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.00.01 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.00.09 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.00.17 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.00.25 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.00.33 - Current temp: 51.062500, Set point: 51.000000, Relay: Off
2021-05-13-14.00.41 - Current temp: 51.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.00.49 - Current temp: 51.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.00.57 - Current temp: 51.000000, Set point: 51.000000, Relay: Off
2021-05-13-14.01.05 - Current temp: 50.937500, Set point: 51.000000, Relay: On
2021-05-13-14.01.13 - Current temp: 50.937500, Set point: 51.000000, Relay: On
2021-05-13-14.01.21 - Current temp: 50.937500, Set point: 51.000000, Relay: On
2021-05-13-14.01.29 - Current temp: 50.937500, Set point: 51.000000, Relay: On
